Kabupaten/Kota,Produksi Jahe (kilogram) (Kg),Produksi Kapulaga (kilogram) (Kg),Produksi Keji Beling (kilogram) (Kg),Produksi Kencur (kilogram) (Kg),Produksi Kunyit (kilogram) (Kg),Produksi Laos/Lengkuas (kilogram) (Kg),Produksi Lempuyang (kilogram) (Kg),Produksi Lidah Buaya (kilogram) (Kg),Produksi Mahkota Dewa (kilogram) (Kg),Produksi Mengkudu/Pace (kilogram) (Kg),Produksi Sambiloto (kilogram) (Kg),Produksi Temuireng (kilogram) (Kg),Produksi Temukunci (kilogram) (Kg),Produksi Temulawak (kilogram) (Kg),Produksi Jeruk Nipis (kilogram) (Kg),Produksi Serai (kilogram) (Kg)
Bogor,7600865,129393,...,2776168,1293111,17819907,6300,69087,,800,7740,,743500,19700,253440,3571047
Sukabumi,1896715,5602791,...,280095,514325,73660,725,,,345,,,,102600,382380,446715
Cianjur,7121555,24648691,...,725506,1629465,1239441,1332,35185,45140,452503,,,93,2990,1574706,1712742
Bandung,722944,215236,...,87210,447046,102434,,14316,25583,5884,2932,2416,3057,28395,335363,395125
Garut,13753701,43658227,...,198150,16759112,375645,,11318,,1721,,,,,263224,403742
Tasikmalaya,541831,10817427,...,14037,53820,16092,125,576,100488,23106,18,,,85,2712,92710
Ciamis,224615,1179426,...,217035,225189,44081,,16392,,56930,,,,,181088,216928
Kuningan,5370421,878581,...,3740,88640,7545,,,,,,,,,2550,
Cirebon,28000,360,...,12920,9678,14720,,,720,3785,735,,,2800,12982,396240
Majalengka,3429470,392192,...,155,1426946,98987,,620,8918,1547,,192,669442,108,52839,80571
Sumedang,2153932,412605,...,5974167,2272541,2392492,,,,,,,,,35159,2250
Indramayu,20387,,...,7803,26351,18395,,2250,,2718,,5345,4190,6469,178444,211605
Subang,4252637,1610,...,4188675,1909124,4228870,,,,13130,,,,,15320,8931
Purwakarta,65915,116138,...,37575,54548,17630,,200,,50,,,,845,56050,36793
Karawang,3590,6700,...,6185,7063,6120,3050,410,2160,1580,210,580,600,2735,2500,75200
Bekasi,19850,,...,359782,334603,2774254,28000,,,,,,57000,45000,9200,581900
Bandung Barat,742325,1119719,...,15557,502510,136512,2880,24273,23833,45262,7466,222,380,6400,181459,869197
Pangandaran,197270,742034,...,115540,111680,40240,,,,,,,,,,2250
Kota Bogor,22203,,...,4784,5726,3080,,1080,,,1910,312,1364,2926,2735,5805
Kota Sukabumi,,,...,,,,,,,,,,,,,
Kota Bandung,6700,8600,...,1130,,,,1350,,,,,,,,
Kota Cirebon,150,,...,,,,,,,,,,,,,
Kota Bekasi,79340,,...,19539,16729,125635,3000,100,,,,,,,,
Kota Depok,6650,,...,1880,4650,4131,1000,1080,,,,,,,100,15230
Kota Cimahi,2520,,...,52,375,126,23,,,,72,,,36,6110,
Kota Tasikmalaya,482235,10057,...,2490,11870,24900,,,,,,,,1400,1000,9100
Kota Banjar,28488,5800,...,28825,23699,34710,,,,,,,,,9300,12600
Jawa Barat,48774309,89945587,...,15079000,27728801,29599607,46435,178237,206842,609361,21083,9067,1479626,222489,3558661,9146681
,,,,,,,,,,,,,,,,
Catatan,,,,,,,,,,,,,,,,
Angka tetap,,,,,,,,,,,,,,,,
