Kabupaten/Kota,Produksi Jahe (kilogram) (Kg),Produksi Kapulaga (kilogram) (Kg),Produksi Keji Beling (kilogram) (Kg),Produksi Kencur (kilogram) (Kg),Produksi Kunyit (kilogram) (Kg),Produksi Laos/Lengkuas (kilogram) (Kg),Produksi Lempuyang (kilogram) (Kg),Produksi Lidah Buaya (kilogram) (Kg),Produksi Mahkota Dewa (kilogram) (Kg),Produksi Mengkudu/Pace (kilogram) (Kg),Produksi Sambiloto (kilogram) (Kg),Produksi Temuireng (kilogram) (Kg),Produksi Temukunci (kilogram) (Kg),Produksi Temulawak (kilogram) (Kg),Produksi Jeruk Nipis (kilogram) (Kg),Produksi Serai (kilogram) (Kg),Tahun,Luas Panen Jahe (meter persegi) (M2),Luas Panen Kapulaga (meter persegi) (M2),Luas Panen Keji Beling (meter persegi) (M2),Luas Panen Kencur (meter persegi) (M2),Luas Panen Kunyit (meter persegi) (M2),Luas Panen Laos/Lengkuas (meter persegi) (M2),Luas Panen Lempuyang (meter persegi) (M2),Luas Panen Lidah Buaya (meter persegi) (M2),Luas Panen Mahkota Dewa (pohon) (Pohon),Luas Panen Mengkudu/Pace (pohon) (Pohon),Luas Panen Sambiloto (meter persegi) (M2),Luas Panen Temuireng (meter persegi) (M2),Luas Panen Temukunci (meter persegi) (M2),Luas Panen Temulawak (meter persegi) (M2),Luas Panen Jeruk Nipis (pohon) (Pohon),Luas Panen Serai (meter persegi) (Pohon)
Bekasi,20030.0,0.0,0.0,682495.0,157530.0,1661800.0,34497.0,0.0,0.0,0.0,0.0,0.0,50100.0,32100.0,0.0,277400.0,2022,5372.0,0.0,0.0,504300.0,33100.0,251025.0,15500.0,0.0,0.0,0.0,0.0,0.0,16700.0,10700.0,0.0,59200.0
Bandung Barat,414573.0,306882.0,0.0,54111.0,395922.0,276355.0,600.0,20036.0,29100.0,16546.0,1825.0,5200.0,3000.0,53400.0,51230.0,7160700.0,2022,350255.0,151100.0,0.0,31860.0,187485.0,117314.0,600.0,14522.0,905.0,724.0,925.0,2600.0,2000.0,10400.0,5200.0,331870.0
Pangandaran,1137549.0,1487059.0,0.0,32332.0,39975.0,8120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9200.0,2022,563104.0,1549790.0,0.0,29831.0,31965.0,3700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2300.0
Kota Bogor,17205.0,2094.0,0.0,6728.0,7196.0,3800.0,2818.0,7560.0,7500.0,925.0,4060.0,720.0,1826.0,4312.0,1340.0,5400.0,2022,3100.0,1270.0,0.0,2275.0,1970.0,700.0,925.0,2450.0,250.0,50.0,1630.0,250.0,500.0,1290.0,250.0,1100.0
Kota Sukabumi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kota Bandung,30.0,0.0,0.0,60.0,10.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,150.0,2022,2.0,0.0,0.0,31.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0
Kota Cirebon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kota Bekasi,98713.0,0.0,0.0,13199.0,11097.0,88101.0,30000.0,200.0,600.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,32104.0,0.0,0.0,7999.0,10273.0,25495.0,6000.0,50.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Kota Depok,41338.0,0.0,0.0,12100.0,17745.0,55460.0,0.0,3150.0,0.0,0.0,0.0,0.0,0.0,200.0,50.0,35900.0,2022,10350.0,0.0,0.0,3100.0,3820.0,8100.0,0.0,900.0,0.0,0.0,0.0,0.0,0.0,200.0,10.0,7300.0
Kota Cimahi,1995.0,0.0,0.0,40.0,390.0,181.0,38.0,0.0,0.0,0.0,60.0,0.0,0.0,35.0,15300.0,0.0,2022,700.0,0.0,0.0,20.0,110.0,50.0,10.0,0.0,0.0,0.0,50.0,0.0,0.0,10.0,600.0,0.0
Kota Tasikmalaya,103720.0,59000.0,0.0,2330.0,10772.0,20720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,13200.0,2022,27230.0,29000.0,0.0,3510.0,11420.0,11200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,0.0,4400.0
Kota Banjar,55800.0,3663.0,0.0,30249.0,61900.0,25475.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4800.0,0.0,2022,13590.0,1941.0,0.0,8675.0,15360.0,4600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0
Jawa Barat,54741570.0,79814585.0,0.0,13369813.0,13999087.0,17984286.0,107798.0,240828.0,341741.0,575720.0,8823.0,18862.0,294993.0,119970.0,3500599.0,20289268.0,2022,20813926.0,37330964.0,0.0,5432435.0,6230673.0,4673304.0,44075.0,76171.0,15269.0,57822.0,4751.0,20432.0,131905.0,46817.0,154618.0,1702137.0
