Kabupaten/Kota,Produksi Jahe (kilogram) (Kg),Produksi Kapulaga (kilogram) (Kg),Produksi Keji Beling (kilogram) (Kg),Produksi Kencur (kilogram) (Kg),Produksi Kunyit (kilogram) (Kg),Produksi Laos/Lengkuas (kilogram) (Kg),Produksi Lempuyang (kilogram) (Kg),Produksi Lidah Buaya (kilogram) (Kg),Produksi Mahkota Dewa (kilogram) (Kg),Produksi Mengkudu/Pace (kilogram) (Kg),Produksi Sambiloto (kilogram) (Kg),Produksi Temuireng (kilogram) (Kg),Produksi Temukunci (kilogram) (Kg),Produksi Temulawak (kilogram) (Kg),Produksi Jeruk Nipis (kilogram) (Kg),Produksi Serai (kilogram) (Kg)
Bogor,1919815,275541,...,1859860,1621059,6496655,5700,123835,,1200,9800,,948300,4450,537860,1754165
Sukabumi,4604247,5536645,...,461876,993650,95950,607,,,362645,,15200,10800,12350,1750945,357150
Cianjur,7054560,32154347,...,838772,1483057,1187072,1292,40115,97696,454478,,,95,2800,1435338,1740036
Bandung,991537,452213,...,89925,437854,263909,,7132,68802,86123,8381,11692,27255,80219,209464,562904
Garut,15272567,13667148,...,160133,10053007,222218,,13670,,,,,,228,94045,518148
Tasikmalaya,647711,17589031,...,21030,58106,30861,1223,5790,13920,5024,60,,,3580,71831,95958
Ciamis,654956,1240245,...,300042,435989,103058,,17160,,71972,,,,300,226960,345542
Kuningan,449302,1851675,...,6458,110104,72740,,,,,,,,,1515,
Cirebon,5586,,...,1700,7550,4832,200,160,1470,1656,700,433,,100,3930,192598
Majalengka,1463323,327404,...,51,1960414,245588,,130,1800,1882,1377,2968,,200,54165,168885
Sumedang,1730433,303246,...,7379084,2654936,820965,,33500,,,,,,,22383,3000
Indramayu,2495,,...,36,4561,413,1575,21,,5079,,1025,159,405,15732,14343
Subang,3255848,3370,...,3221657,1722855,2910136,,,,,,,,,391250,360835
Purwakarta,44913,60639,...,22069,20799,11772,,150,,,,,,670,20700,38659
Karawang,4721,,...,7640,30701,45605,18500,1200,4800,7320,160,1500,2250,1735,7800,80060
Bekasi,17170,,...,721180,508150,3006630,84000,200,,,,,150300,70400,,209657
Bandung Barat,545466,827120,...,26732,234392,101154,400,16114,32580,7980,3000,1094,2076,10400,53915,1125100
Pangandaran,155137,1075299,...,42392,34774,10850,,200,,,,,,,10000,13500
Kota Bogor,18038,535,...,6004,10108,3920,1748,4050,,,5360,729,2189,5760,6000,5525
Kota Sukabumi,,,...,,,,,,,,,,,,,
Kota Bandung,2100,,...,,10,,,18,,,,,,,350,30
Kota Cirebon,120,,...,,,,,,,,,,,,,30
Kota Bekasi,93430,,...,45758,21041,282885,37500,150,,50,,,,,,
Kota Depok,2270,,...,1220,1610,3881,,1303,,,,,,,1450,19860
Kota Cimahi,2390,,...,44,435,238,32,,,,60,,,70,8800,
Kota Tasikmalaya,1005080,20145,...,2870,20760,24800,,,,,,,,1400,2400,10000
Kota Banjar,33525,2732,...,32300,21480,21300,,,,,,,,,17200,
Jawa Barat,39976740,75387335,...,15248833,22447402,15967432,152777,264898,221068,1005409,28898,34641,1143424,195067,4944033,7615985
,,,,,,,,,,,,,,,,
Catatan,,,,,,,,,,,,,,,,
Angka tetap,,,,,,,,,,,,,,,,
