Kabupaten/Kota,Luas Panen Jahe (meter persegi) (M2),Luas Panen Kapulaga (meter persegi) (M2),Luas Panen Keji Beling (meter persegi) (M2),Luas Panen Kencur (meter persegi) (M2),Luas Panen Kunyit (meter persegi) (M2),Luas Panen Laos/Lengkuas (meter persegi) (M2),Luas Panen Lempuyang (meter persegi) (M2),Luas Panen Lidah Buaya (meter persegi) (M2),Luas Panen Mahkota Dewa (pohon) (Pohon),Luas Panen Mengkudu/Pace (pohon) (Pohon),Luas Panen Sambiloto (meter persegi) (M2),Luas Panen Temuireng (meter persegi) (M2),Luas Panen Temukunci (meter persegi) (M2),Luas Panen Temulawak (meter persegi) (M2),Luas Panen Jeruk Nipis (pohon) (Pohon),Luas Panen Serai (meter persegi) (Pohon)
Bogor,468815,398571,...,339200,283118,971920,1650,56400,,100,7400,,85850,800,29592,303040
Sukabumi,2342022,2470450,...,94240,206160,49760,300,,,10745,,15200,10800,12070,32770,55900
Cianjur,1765659,5795467,...,210821,446421,109632,700,6201,3850,26159,,,50,970,42279,191838
Bandung,497278,123293,...,34139,139294,62301,,4380,1600,4156,1394,2583,22085,31401,21006,113259
Garut,5250841,10552709,...,95760,3482960,128226,,1395,,,,,,59,9217,142372
Tasikmalaya,470667,9156167,...,14178,38822,20315,800,2100,765,2112,30,,,2550,4275,18388
Ciamis,718683,2225942,...,698876,954156,89692,,820,,1102,,,,300,15645,44383
Kuningan,249735,1057820,...,3498,55748,65834,,,,,,,,,158,
Cirebon,2520,,...,700,2986,2260,200,160,60,175,300,75,,100,331,53226
Majalengka,460680,66060,...,25,682820,62255,,50,50,161,459,528,,50,2200,45200
Sumedang,489268,75237,...,2412204,797323,284261,,10000,,,,,,,1035,750
Indramayu,1135,,...,14,1686,183,1025,31,,3306,,1025,75,75,1976,3112
Subang,473540,1640,...,647540,307775,387333,,,,,,,,,44250,38850
Purwakarta,16705,42574,...,7559,11148,3239,,100,,,,,,355,2450,8481
Karawang,2000,,...,13725,15583,15580,10000,900,400,800,40,1000,1500,2305,650,25120
Bekasi,6010,,...,406500,74300,526125,22500,200,,,,,28500,30000,,68619
Bandung Barat,481022,163300,...,19039,115790,30276,400,1840,935,508,750,1030,2040,10250,2715,42430
Pangandaran,106908,343079,...,38442,26023,7000,,200,,,,,,,1000,4500
Kota Bogor,2925,295,...,1610,2685,480,560,1045,,,1850,225,560,1658,600,1075
Kota Sukabumi,,,...,,,,,,,,,,,,,
Kota Bandung,140,,...,,1,,,1,,,,,,,22,2
Kota Cirebon,20,,...,,,,,,,,,,,,,10
Kota Bekasi,36952,,...,20443,14396,72675,11000,100,,50,,,,,,
Kota Depok,7310,,...,3200,3150,5930,,905,,,,,,,290,6620
Kota Cimahi,750,,...,15,140,30,10,,,,50,,,15,400,
Kota Tasikmalaya,205040,10080,...,3230,5950,10800,,,,,,,,1400,200,2300
Kota Banjar,8700,1802,...,11300,6575,4600,,,,,,,,,1100,
Jawa Barat,14065325,32484486,...,5076258,7675010,2910707,49145,86828,7660,49374,12273,21666,151460,94358,214161,1169475
,,,,,,,,,,,,,,,,
Catatan,,,,,,,,,,,,,,,,
Angka tetap,,,,,,,,,,,,,,,,
